"string";"# total labels";"total labels";"# unique labels";"unique labels"
"Reference:
Geerts et al. Gender-dependent Regulation of Glutamate Dehydrogenase Expression in Periportal and Pericentral Zones of Rat Liver Lobules. Journal of Histochemistry and Cytochemistry 1996 Vol 44, No 10, pp 1153-1159. 

Figure 3. 
Digital images of expression patterns in serial sections of a liver of a fed female rat. Glutamine synthetase mRNA was used as a marker for the pericentral zone.";"22";"liver, liver, and, and, as, reference, female, histochemistry, regulation, rat, rat, cytochemistry, digital, expression, expression, for, gender, glutamine, journal, no, rat liver, zone";"18";"liver, and, as, reference, female, histochemistry, regulation, rat, cytochemistry, digital, expression, for, gender, glutamine, journal, no, rat liver, zone"
"The expansion of the endoplasmic reticulum in differentiated neuroblastoma cells is significantly reduced by overexpression of tau. Tau-stable N2a cells (aÃc) or  ock-transfected cells (dÃf) were induced to differentiate, and then fixed in  araformaldehyde and triple-labeled with antibodies against the ER (a and d), tubulin (b and e), and tau (c and f). In contrast to control cells, z82% of tau-stable neuroblastoma cells show the ER clustered at one side of the nucleus (a), whereas in mock-transfected cells the ER surrounds the entire nucleus (d; compare Table I). Furthermore, the expansion of the ER into the neurites in control cells (d) can clearly be seen. In tau-stable cells, only a faint signal of ER-immunoreactivity is visible in neuritic processes. The total intensity of the ER stain is the same in both cells. Arrowheads in a and d are indicating the position of the neurite relative to the cell body. Bar, 10 mm";"60";"neuroblastoma, neuroblastoma, endoplasmic reticulum, nucleus, nucleus, neuroblastoma, neuroblastoma, tau, tau, tau, tau, tau, against, relative, and, and, and, and, and, and, and, cell, are, at, be, tubulin, body, both, stain, can, cell, contrast, control, control, signal, intensity, into, labeled, one, or, reduced, same, side, side, stable, stable, stable, table, then, to, to, to, total, visible, with, endoplasmic reticulum, cell, nucleus, nucleus, cell body";"41";"neuroblastoma, endoplasmic reticulum, nucleus, neuroblastoma, tau, against, relative, and, cell, are, at, be, tubulin, body, both, stain, can, cell, contrast, control, signal, intensity, into, labeled, one, or, reduced, same, side, side, stable, table, then, to, total, visible, with, endoplasmic reticulum, cell, nucleus, cell body"
"GFP in aspargillus.";"0";"";"0";""
"Pariental region is more atrophic then frontal region.";"3";"region, region, then";"2";"region, then"
"MRI and 1H-MRSI of a patient with Alzheimer's disease.The MRI slice is 3 mm thick and corresponds to the center of the 15-mm thick
1H-MRSI slice. Cho = choline; Cre = creatine; NA = N-acetylaspartate. 1H-MRSI data are displayed using a color scale that depicts the strongest signal integral with red and the weakest with dark blue. The 1H-MRSI data are displayed at their nominal uoxel in-plane resolution (7.5 mm x 7.5 mm). Color images are scaled to the highest value of each metabolite signal intensity for each 1H-MRSI slice, so that the pattern of regional distribution of metabolite signal intensities within the same slice can be compared between subjects, although color intensity from the same anatomic location cannot be compared between subjects.";"63";"disease, alzheimer's disease, alzheimer's disease, data, data, location, pattern, value, anatomic, and, and, and, are, are, are, at, be, be, between, between, color, color, color, blue, can, patient, scale, center, choline, creatine, distribution, each, each, for, from, resolution, highest, signal, signal, signal, intensity, intensity, metabolite, metabolite, plane, of each, red, regional, same, same, slice, slice, slice, slice, resolution, thick, thick, to, to, with, with, with, within";"41";"disease, alzheimer's disease, alzheimer's disease, data, location, pattern, value, anatomic, and, are, at, be, between, color, blue, can, patient, scale, center, choline, creatine, distribution, each, for, from, resolution, highest, signal, intensity, metabolite, plane, of each, red, regional, same, slice, resolution, thick, to, with, within"
"Spin-echo versus T2* gradient-echo plaque contrast. In vivo magnetic resonance microimaging (MRMI) of a 20-month-old mouse with Alzheimerâs disease (AD): (AâC) a spin-echo and (DâF) a T2* gradient-echo image at the same anatomic position. Spatial resolution was identical between the two acquisitions (60 Ã 60 um in plane and 120 um through plane). Panels B and E, centered on the cortex, are magnified from the corresponding parent image in panels A and D,
respectively. The size of the largest plaque in the cortex (arrow 1) is considerably larger on the T2* (E) than on the spinecho image (B). However, the smaller plaques, indicated by arrows in panel B, are clearly visible on the spin-echo and are barely perceptible on the corresponding T2* gradient-echo scan (E). Panels C and F, centered on the striatum, are
magnified from the corresponding parent image in panels A and D, respectively. Note that plaques (circled) in the striatum that are distinctly resolved on the spin-echo image (C) are blurred into a âsingleâ dark spot on the T2* image (F).";"53";"disease, anatomic, and, and, and, and, and, and, and, are, are, are, are, are, are, at, between, scan, contrast, image, image, image, image, image, image, parent, parent, size, from, from, resolution, gradient, gradient, gradient, identical, into, largest, plane, plane, month, mouse, note, old, plaque, plaque, same, single, resolution, spot, two, visible, with, in vivo";"31";"disease, anatomic, and, are, at, between, scan, contrast, image, parent, size, from, resolution, gradient, identical, into, largest, plane, month, mouse, note, old, plaque, same, single, resolution, spot, two, visible, with, in vivo"
"Reference:
Gebhart et al. Hepatocellular expression of glutamine synthetase: An indicator of morphogen actions as master regulators of zonation in adult liver. Progress in Histochemistry and Cytochemistry 41 (2007) 201â266

Figure 10:
Section of mouse liver subjected to adenoviral-mediated expression of a dominant stable mutant of b-catenin immunohistochemically stained for glutamine synthetase. High
expression of glutamine synthetase is apparently found in all transfected hepatocytes matching
cells with nuclear stainging for b-catenin, and in the normal GS-positive zone around the central veins (arrows). In these pericentral hepatocytes no cytoplasmic or nuclear staining for b-catenin can be detected with the antibody used (directed against the C-terminus of b-catenin).
For details of the mice used herein see Harada et al. (2002). PV, portal vein; CV, central vein
(magnification: x60).";"54";"liver, liver, indicator, adult, against, all, and, and, vein, vein, antibody, as, be, reference, can, histochemistry, central vein, section, cytochemistry, details, dominant, expression, expression, expression, for, for, for, for, section, glutamine, glutamine, glutamine, hepatocellular, high, mouse liver, mouse, mutant, no, normal, nuclear, nuclear, or, portal, portal vein, positive, progress, section, see, stable, staining, to, with, with, zone";"42";"liver, indicator, adult, against, all, and, vein, antibody, as, be, reference, can, histochemistry, central vein, section, cytochemistry, details, dominant, expression, for, section, glutamine, hepatocellular, high, mouse liver, mouse, mutant, no, normal, nuclear, or, portal, portal vein, positive, progress, section, see, stable, staining, to, with, zone"
"3D appearance of the ventricles in a control subject (A) subject with MCI (B) and a patient with AD (C). The temporal horn of the lateral ventricle is larger in the patient with AD compared with the control subject or patient with MCI.";"19";"and, appearance, lateral ventricle, patient, patient, patient, control, control, subject, subject, subject, lateral, or, temporal, with, with, with, with, with";"10";"and, appearance, lateral ventricle, patient, control, subject, lateral, or, temporal, with"
"A coronal magnetic resonance imaging (MRI) scan, at the level on which the entorhinal cortex was measured. The area outlined represents the portion of the scan used to orient the operator to the landmarks of the entorhinal cortex. A box has been placed over the region of interest in one hemisphere. (b) A diagram of the entorhinal cortex (ent) and adjoining medial temporal
lobe regions, including the rhinal sulcus (rs), the hippocampus (H), the amygdala (A), the subiculum (S), and the mammillary bodies (mb). (c) The region of the entorhinal cortex measured in the present study, as delineated on the MRI scan of a control subject.
The entorhinal cortex is located inframedially on the surface of the brain. It is fused with the subiculum of the hippocampus medially and extends to the rhinal sulcus laterally. The entorhinal cortex was outlined on three consecutive normalized coronal images centered at the level of the mammillary bodies. The outline of the region began at the angle formed by the junction of the rhinal sulcus and the surface of the brain (the posterior end of this region may be continuous with the collateral sulcus in some subjects). The outline then transected this angle, cutting across the gray matter to the level of the white matter. Then the edge of the
white matter was followed to the inferior surface of the hippocampus. The outline then followed the surface of the brain back to the starting point. (This protocol was based on the fact that the most anterior and posterior edges of entorhinal cortex and the banks of the superior temporal sulcus are difficult to define with reliability. Moreover, unbiased stereological data from human brain tissue indicate that the neuron counts within a single section of these brain regions are excellent predictors of total volume.17,18)";"113";"human, brain, brain, brain, brain, brain, data, tissue, neuron, amygdala, and, and, and, and, and, and, angle, angle, study, anterior, are, are, area, as, at, at, at, back, be, scan, scan, scan, box, white matter, white matter, gray matter, protocol, collateral, collateral sulcus, temporal sulcus, region, region, region, region, consecutive, magnetic resonance imaging, control, section, volume, diagram, end, white, white, excellent, from, section, gray, gray, surface, surface, surface, surface, hippocampus, hippocampus, hippocampus, inferior, reliability, interest, subject, level, level, level, lobe, operator, measured, measured, medial, most, one, operator, over, point, posterior, posterior, present, volume, section, single, some, subiculum, subiculum, superior, superior temporal sulcus, temporal, temporal, then, then, then, three, to, to, to, to, to, to, to, total, white, white, with, with, with, within";"71";"human, brain, data, tissue, neuron, amygdala, and, angle, study, anterior, are, area, as, at, back, be, scan, box, white matter, gray matter, protocol, collateral, collateral sulcus, temporal sulcus, region, consecutive, magnetic resonance imaging, control, section, volume, diagram, end, white, excellent, from, section, gray, gray, surface, hippocampus, inferior, reliability, interest, subject, level, lobe, operator, measured, medial, most, one, operator, over, point, posterior, present, volume, section, single, some, subiculum, superior, superior temporal sulcus, temporal, then, three, to, total, white, with, within"
"Hello world";"1";"world";"1";"world"
"HMPAO SPECT images of AD patients with similar SADs: comparison using SPM.Left:3-way-glass brain view of area
of significant hypoperfusion present in CSAD group compared with NHDgroup. Right Sagittal,coronal, and transversesections of normalized registered MRI brainimage with z scores from statistically significant cluster for comparison between CSAD group and NHD group superimposedon them. Positionsof slices were â28mm (sagittal), +52 mm (coronal),and +10 mm (transverse)with
reference to stereotactic coordinates of Talairach and Toumoux( 16). Image in bottom right corner is +52-mm (coronal) slice with approximate position of Brodmann's areas indicated";"35";"brain, group, group, group, and, and, and, and, approximate, area, between, reference, bottom, comparison, comparison, cluster, image, for, from, glass, glass, view, left, present, right, right, significant, significant, slice, to, with, with, with, with, with";"23";"brain, group, and, approximate, area, between, reference, bottom, comparison, cluster, image, for, from, glass, glass, view, left, present, right, significant, slice, to, with"
"MR of mouse brain";"3";"brain, mouse brain, mouse";"3";"brain, mouse brain, mouse"
"Overview of CHO cells.";"1";"cho cells";"1";"cho cells"
"References: Alpini et al. The Pathobiology of Biliary Epithelia. HEPATOLOGY 2002;35:
1256-1268.
Figure 1. Six computer-generated cholangiographic views of a normal biliary tree, based on contiguous 2-mm slices imaged with electronbeam
computed tomography. In this example, the biliary tree is viewed at 70Â° increments around the cephalocaudal axis (voxel 0.62-1 mm2).";"14";"at, axis, biliary, biliary, biliary, computed tomography, computer, contiguous, example, normal, six, tomography, voxel, with";"12";"at, axis, biliary, computed tomography, computer, contiguous, example, normal, six, tomography, voxel, with"
"Temporal-lobeoriented
CTscans of
female patient with
histopatfiologicalh/-
confirmed Alzheimer's
disease. (Note that left of
brain is on the right.) Top:
aged 62 with CAMCOG
score of 66.The minimum
thickness of the medial
temporal lobe at the level
of the brain stem was
measured at trie points
marked by arrows: left 7.5
mm; right 14 mm. Bottom:
same patient 3 years
later, with a CAMCOG
score of 29.
Measurements were left 2
mm; right 3.5 mm.
(OPTIMA, unpublished).";"35";"disease, brain, brain, stem, temporal lobe, at, at, score, score, bottom, brain stem, thickness, patient, patient, female, left, left, left, level, lobe, marked, measured, medial, minimum, note, right, right, right, same, temporal, temporal, top, with, with, with";"24";"disease, brain, stem, temporal lobe, at, score, bottom, brain stem, thickness, patient, female, left, level, lobe, marked, measured, medial, minimum, note, right, same, temporal, top, with"
"PET images of [11C]PIB in a patient with AD and a healthy subject. A significant retention of PIB is observed in frontal and temporoparietal areas in patients with AD when compared with control subjects. Printed with permission from Chet Mathis. PET, positron emission tomography; PIB, Pittsburgh Compound B; AD, Alzheimerâs disease.";"21";"disease, and, and, patient, positron emission tomography, compound, control, emission, from, healthy subject, subject, observed, positron, retention, significant, tomography, when, with, with, with, with";"17";"disease, and, patient, positron emission tomography, compound, control, emission, from, healthy subject, subject, observed, positron, retention, significant, tomography, when, with"
"Reference:
Crawford. Development of the Intrahepatic Biliary Tree. Seminars in Liver Disease, volume 22, number 3, 2002.

Figure 5D:
Immunohistochemistry of the developing liver, stained for CK-19. 18-week fetus, with scattered peripheral ductular structures and a prominent tubular bile duct more centrally located
in the portal tract mesenchyme. The portal vein is centrally located, and the hepatic artery is eccentrically located. 
Magnification x40.";"31";"disease, liver disease, fetus, liver, liver, artery, number, duct, and, and, vein, bile, bile duct, biliary, reference, development, volume, development, for, hepatic, hepatic artery, intrahepatic, mesenchyme, peripheral, portal, portal, portal vein, volume, tubular, week, with";"28";"disease, liver disease, fetus, liver, artery, number, duct, and, vein, bile, bile duct, biliary, reference, development, volume, development, for, hepatic, hepatic artery, intrahepatic, mesenchyme, peripheral, portal, portal vein, volume, tubular, week, with"
"Diameter of plaques visible on in vivo (left) and ex vivo (right) magnetic resonance microimaging (MRMI) by age. The ordinate plots the maximum (closed triangle), minimum (closed square), median (closed circle), 25th percentile (long dash), and 75th percentile (short dash) of the plaque diameter (mm) measured in the corresponding Thio-S-stained histological sections. The values of each maximum, minimum, and median are noted next to each symbol. The abscissa plots the age of the APP/PS1 mice in months. The number of plaques measured for each mouse is noted above the abscissa.";"44";"above, number, age, age, and, and, and, are, circle, closed, closed, closed, diameter, diameter, each, each, each, ex vivo, for, left, long, long, maximum, maximum, measured, measured, median, median, minimum, minimum, mouse, next, of each, percentile, percentile, plaque, right, short, short, symbol, to, triangle, visible, in vivo";"31";"above, number, age, and, are, circle, closed, diameter, each, ex vivo, for, left, long, long, maximum, measured, median, minimum, mouse, next, of each, percentile, plaque, right, short, short, symbol, to, triangle, visible, in vivo"
"Reference:
Geerts et al. Gender-dependent Regulation of Glutamate Dehydrogenase Expression in Periportal and Pericentral Zones of Rat Liver Lobules. Journal of Histochemistry and Cytochemistry 1996 Vol 44, No 10, pp 1153-1159. 

Figure 4. 
Digital images of expression patterns in serial sections of a liver of a fed male rat. Glutamine synthetase mRNA was used as a marker for the pericentral zone.";"22";"liver, liver, and, and, as, reference, male, histochemistry, regulation, rat, rat, cytochemistry, digital, expression, expression, for, gender, glutamine, journal, no, rat liver, zone";"18";"liver, and, as, reference, male, histochemistry, regulation, rat, cytochemistry, digital, expression, for, gender, glutamine, journal, no, rat liver, zone"
"a MR image of normal hippocampus of a 75-year-old female (category 1). b MR image of slightly atrophic hippocampus of a 73-year-old female (category 3). c MR image of severely atrophic
hippocampus of a 71-year-old female (category 5). Arrows indicate the hippocampus";"20";"category, category, category, female, female, female, image, image, image, hippocampus, hippocampus, hippocampus, hippocampus, normal, old, old, old, year, year, year";"7";"category, female, image, hippocampus, normal, old, year"
"publicdesc";"0";"";"0";""
"Electron diffraction image of nano-crystal";"4";"crystal, image, electron, nano";"4";"crystal, image, electron, nano"
"Mitochondria accumulate near the MTOC in CHO cells overexpressing tau. Cells stably transfected with tau40 (aÃc) and mocktransfected CHO cells (dÃf). Microtubules were stained with antibody DM1A (b and e) and tau with polyclonal antiÃtau antibody K9JA (c and f). Mitochondria were visualized with Mito- TrackerÂª  Green (a and d). Cells were fixed in methanol 30 min after addition of Mito-
TrackerÂª Green. In tau-stable cells (aÃc), there is a striking clustering of mitochondria near the MTOC (seen near the nucleus where the microtubule stain is most intense), whereas in mocktransfected cells (dÃf) the mitochondria are dispersed throughout the cytoplasm. In addition, the tau-stable cells are more rounded up compared with control cells. Bar, 20 mm.";"37";"nucleus, cytoplasm, tau, tau, tau, tau, tau, and, and, and, and, and, antibody, antibody, are, are, microtubule, cho cells, cho cells, stain, control, green, green, most, near, near, near, stable, stable, with, with, with, with, with, nucleus, cytoplasm, microtubule";"18";"nucleus, cytoplasm, tau, and, antibody, are, microtubule, cho cells, stain, control, green, most, near, stable, with, nucleus, cytoplasm, microtubule"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3A:
Conventional portal triad, containing 1 bile duct (BD1, arrowhead), 3 hepatic arteries (*; top right, middle, and lower left), 1 portal vein, and 1 probable canal of Hering (BD2, arrow). Magnification x400.";"30";"human, liver, adult, duct, and, and, vein, bile, bile duct, reference, reference, biopsy, canal, canal of hering, standard, quantitative, hepatic, left, liver biopsy, lower, lower, middle, normal, portal, portal, portal triad, portal vein, right, standard, top";"27";"human, liver, adult, duct, and, vein, bile, bile duct, reference, biopsy, canal, canal of hering, standard, quantitative, hepatic, left, liver biopsy, lower, lower, middle, normal, portal, portal triad, portal vein, right, standard, top"
"Serial planes showing the topography of 11C-PIB retention in the brain of a control individual and a patient with AD. Top two rows show
axial and bottom two show sagittal standardised uptake values (SUV) of PIB images. Images from the the control individual are shown in rows one
and three and the corresponding data from the patient with AD are shown in rows two and four. The scale bar indicates relative levels of PIB SUV
values. Reproduced with permission from Wiley-Liss Inc.39";"33";"brain, data, relative, and, and, and, and, and, are, are, axial, bottom, patient, patient, scale, control, control, four, from, from, from, one, retention, three, top, topography, two, two, two, uptake, with, with, with";"20";"brain, data, relative, and, are, axial, bottom, patient, scale, control, four, from, one, retention, three, top, topography, two, uptake, with"
"Pariental regions";"0";"";"0";""
"A field of several cortical neurons from a transgenic (PDAPP) mouse labeled with AlexaFluor594 dextran. 
(No differences were observed in the extent of
labeled neurons between control and transgenic mice.)
Scale bar = 25 µm.";"13";"and, between, scale, control, extent, field, from, labeled, labeled, mouse, no, observed, with";"12";"and, between, scale, control, extent, field, from, labeled, mouse, no, observed, with"
"Multiphoton microscopy of senile plaques in the brain of a live 21-month-old transgenic APP mouse (Tg 2576). Amyloid deposits were labelled by injection of 1 mg/kg methoxy-XO4 intraperitoneally 24 h before imaging (red). The anaesthetised mouse was prepared for imaging by
replacing an 8 mm circular area of the skull with a glass that was cemented in place. Fluorescein was injected intravenously to label all blood vessels (green). A three-dimensional volume was acquired by collecting a series of two-dimensional images 400 Âµm deep from the surface of the brain, and projected onto a single plane. Dense core plaques were clearly labelled with methoxy-XO4 , as well as some cerebrovascular amyloid angiopathy. Scale bar=50 Âµm. Courtesy of Dr Brian Bacskai, Department of Neurology, Massachusetts General Hospital, Charlestown, USA.";"46";"brain, brain, acquired, all, and, area, as, as, microscopy, skull, blood, scale, cerebrovascular, core, series, volume, deep, dense, department, fluorescein, for, from, glass, glass, green, surface, label, hospital, massachusetts, plane, month, mouse, mouse, neurology, old, place, volume, red, single, some, three, to, two, well, with, with";"42";"brain, acquired, all, and, area, as, microscopy, skull, blood, scale, cerebrovascular, core, series, volume, deep, dense, department, fluorescein, for, from, glass, glass, green, surface, label, hospital, massachusetts, plane, month, mouse, neurology, old, place, volume, red, single, some, three, to, two, well, with"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 8C:
Distribution of GS mRNA in the liver of control mice.";"15";"gene, liver, liver, gene expression, and, model, development, control, development, distribution, expression, for, maintenance, model, gene expression";"14";"gene, liver, gene expression, and, model, development, control, development, distribution, expression, for, maintenance, model, gene expression"
"Truncation of tau at Asp421 increases the rate and extent of tau filament assembly in vitro. 
Representative electron micrographs of tau filaments assembled in vitro by truncated tau proteins. 
(Bar = 200 nm.)";"13";"tau, tau, tau, tau, and, assembly, assembly, at, rate, electron, extent, in vitro, in vitro";"9";"tau, and, assembly, assembly, at, rate, electron, extent, in vitro"
"Template for a standard bright field image";"6";"standard, image, field, for, standard, template";"6";"standard, image, field, for, standard, template"
"Enlargement of the central sulcus";"1";"enlargement";"1";"enlargement"
"Chemical structures of compounds used for development of in vivo amyloid imaging ligands";"5";"development, chemical, development, for, in vivo";"5";"development, chemical, development, for, in vivo"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 9B:
Expression of GS in serial sections of the liver of a dexamethasone-treated GRU/RPII mouse. GS mRNA identifies the hepatocytes surrounding the central vein.";"19";"gene, liver, liver, gene expression, dexamethasone, and, vein, model, development, central vein, development, expression, expression, for, maintenance, model, mouse, surrounding, gene expression";"17";"gene, liver, gene expression, dexamethasone, and, vein, model, development, central vein, development, expression, for, maintenance, model, mouse, surrounding, gene expression"
"Transglutaminase-catalyzed cross-link  immunoreactivity in AD, control, and schizophrenic in superior orbital frontal cortex and cervical
spinal cord. Immunocytochemistry was performed on post mortem human brain tissue sections using antibody 81D4 against the Îµ-(Î³-glutamyl)
lysine cross-link. 
Photomicrographs show immunolabeling of neurons in the superior orbital frontal cortex in non-pathological normal brain (A),schizophrenic brain (B), and Alzheimerâs disease brain (C and D). Magnification is 500Ã for (A), (B), and (C); 1000Ã for (D). 
The intensity of neuronal labeling observed within cortical neurons was generally higher in AD compared with control and schizophrenic brain as shown in photomicrographs (C) and (D). However, the intensity of labeling was not taken into consideration for when the numbers of labeled neurons were evaluated.

(Referentie: Transglutaminase bonds in neurofibrillary tangles and paired helical filament tau early in Alzheimerâs disease --
Steven M. Singer, Gina M. Zainelli, Maryam A. Norlund, John M. Lee, Nancy A. Muma)";"53";"disease, disease, human, brain, brain, brain, brain, brain, tissue, spinal cord, tau, against, and, and, and, and, and, and, and, and, antibody, as, cervical, control, control, cord, cross, cross, early, for, for, for, immunocytochemistry, intensity, intensity, into, labeled, labeling, labeling, lysine, normal, observed, performed, post, spinal, superior, superior, taken, transglutaminase, transglutaminase, when, with, within";"33";"disease, human, brain, tissue, spinal cord, tau, against, and, antibody, as, cervical, control, cord, cross, early, for, immunocytochemistry, intensity, into, labeled, labeling, lysine, normal, observed, performed, post, spinal, superior, taken, transglutaminase, when, with, within"
"Microinjection of recombinant tau protein leads to mitochondrial clustering near the MTOC. Wild-type CHO cells were microinjected with 1.3 mg/ml (z1.2 mM) of purified recombinant tau protein and incubated for 4 h. After addition of MitoTracker
Âª Red (a and b), cells were fixed with araformaldehyde and stained with antibodies against tubulin (c and d) and tau (e and f). Mitochondrial clustering is visible even within 4 h after microinjection. Note that the microtubule network retains its normal appearance and that mitochondria in microinjected cells similar as in the tau-stable CHO and N2a cells tend to cluster
at one side of the nucleus in the vicinity of the MTOC. The cell periphery of microinjected cells is outlined for clarity. Bar,10 mm.";"51";"nucleus, tau, tau, tau, tau, against, and, and, and, and, and, and, and, and, type, cell, appearance, protein, protein, as, at, tubulin, microtubule, cho cells, cell, cluster, for, for, incubated, near, network, normal, note, one, red, side, side, stable, to, to, visible, with, with, with, within, protein, protein, cell, nucleus, microtubule, cell periphery";"35";"nucleus, tau, against, and, type, cell, appearance, protein, as, at, tubulin, microtubule, cho cells, cell, cluster, for, incubated, near, network, normal, note, one, red, side, side, stable, to, visible, with, within, protein, cell, nucleus, microtubule, cell periphery"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 8A:
Distribution of CPS mRNA in the liver of control mice. CPS mRNA is expressed in a gradient from the portal to the central vein.";"21";"gene, liver, liver, gene expression, and, vein, model, development, central vein, control, development, distribution, expression, for, from, gradient, maintenance, model, portal, to, gene expression";"20";"gene, liver, gene expression, and, vein, model, development, central vein, control, development, distribution, expression, for, from, gradient, maintenance, model, portal, to, gene expression"
"Comparison of diffusivity in the lobar regions between young (white bars), nondemented older adults (gray bars) and demented older adults (black bars). (A) Frontal lobe
white matter, (B) temporal lobe white matter, (C) parietal lobe white matter, (D) occipital lobe white matter.";"31";"temporal lobe, and, frontal lobe, parietal lobe, between, black, white matter, white matter, white matter, white matter, comparison, white, white, white, white, white, gray, gray, occipital lobe, lobar, lobe, lobe, lobe, lobe, parietal, temporal, white, white, white, white, white";"17";"temporal lobe, and, frontal lobe, parietal lobe, between, black, white matter, comparison, white, gray, gray, occipital lobe, lobar, lobe, parietal, temporal, white"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 3E:
Distribution of CPS mRNA in serial liver sections of an adult, 48-hour-starved mouse injected with 3 mg dexamethasone phosphate/kg body weight 16 hours before killing.";"23";"gene, liver, liver, gene expression, adult, dexamethasone, and, model, weight, body weight, body, development, development, dexamethasone phosphate, distribution, expression, for, hour, maintenance, model, mouse, with, gene expression";"22";"gene, liver, gene expression, adult, dexamethasone, and, model, weight, body weight, body, development, development, dexamethasone phosphate, distribution, expression, for, hour, maintenance, model, mouse, with, gene expression"
"Proteolytic cleavage of APP by Î±-, Ã-, and Ï-secretases. APP undergoes proteolytic cleavage via two distinct pathways. In the onamyloidogenic pathway, APP is cleaved by Î±-secretase resulting in a soluble Nterminal fragment (sAPPÎ±) and a membrane bound C-terminal fragment that is further cleaved by Ï-secretase to produce P3. In the second pathway, APP cleavage by Ã-secretase produces a soluble N-terminal fragment (sAPPÃ) and a C-terminal fragment that is further cleaved by Ï-secretase to produce A40â43. Reprinted with permission from K. Shoghi-Jadid and Elsevier Publishers (Shoghi-Jadid et al 2005). APP, amyloid precursor protein; AÃ, Ã-amyloid peptide.";"32";"peptide, and, and, and, and, protein, membrane, bound, fragment, fragment, fragment, fragment, from, further, further, pathway, pathway, precursor, second, second, second, soluble, soluble, terminal, terminal, terminal, to, to, two, with, protein, membrane";"20";"peptide, and, protein, membrane, bound, fragment, from, further, pathway, precursor, second, second, second, soluble, terminal, to, two, with, protein, membrane"
"Amyloid burden in entorhinal/occipital cortex of
PDAPP mouse. Coronal section of a PDAPP heterozygous mouse brain stained with anti Ab antibody 2332, and scanned at 10 ?m resolution. Only the Cy5 channel is shown. The area used for determination of amyloid burden, including portions of the entorhinal and occipital cortices,
is outlined by a solid black line. In triplicate samples (three different mice of the same age) the staining covered 3.67Â±0.29% of the entorhinal area. Scale bar = 1 mm.";"28";"brain, age, and, and, antibody, area, area, at, black, burden, burden, mouse brain, scale, channel, section, solid, for, resolution, section, line, mouse, mouse, same, section, resolution, staining, three, with";"24";"brain, age, and, antibody, area, at, black, burden, mouse brain, scale, channel, section, solid, for, resolution, section, line, mouse, same, section, resolution, staining, three, with"
"Effects of htau23 overexpression on the gross morphology and ultrastructure of ABC distal dendrites.
Secondary and tertiary dendrites from an ABC injected with Lucifer Yellow shows the smooth, tapered profiles typical of normal ABC dendrites.
Scale bar = 10 µm";"13";"and, and, morphology, scale, distal, from, gross, normal, secondary, smooth, tertiary, with, yellow";"12";"and, morphology, scale, distal, from, gross, normal, secondary, smooth, tertiary, with, yellow"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 3D:
Distribution of GS mRNA in serial liver sections of an adult, 48-hour-starved mouse injected with 3 mg dexamethasone phosphate/kg body weight 16 hours before killing. GS mRNA identifies the hepatocytes surrounding the central vein.";"26";"gene, liver, liver, gene expression, adult, dexamethasone, and, vein, model, weight, body weight, body, development, central vein, development, dexamethasone phosphate, distribution, expression, for, hour, maintenance, model, mouse, surrounding, with, gene expression";"25";"gene, liver, gene expression, adult, dexamethasone, and, vein, model, weight, body weight, body, development, central vein, development, dexamethasone phosphate, distribution, expression, for, hour, maintenance, model, mouse, surrounding, with, gene expression"
"Projection of average brain activation during encoding of line drawings in sagittal, coronal, and transverse directions in the control group and in patients. A, Control group (n 5 10, left in the figure is left in the brain). A one-sample t test random effects analysis (P , .001; uncorrected; minimal cluster size, 108 mm3) was applied. Significant activation is observed in the cerebellum, occipital cortex, parietal cortex, inferior frontal gyrus, and left parahippocampal gyrus. B, Patients (n 5 8). The main effect of signal increase is seen in the occipital and parietal cortex, right precentral gyrus, left insula, left middle frontal gyrus, and cingulate sulcus.";"48";"brain, brain, activation, activation, group, group, analysis, and, and, and, and, and, cerebellum, inferior frontal gyrus, average, increase, cluster, control, control, control group, control group, during, effect, size, frontal gyrus, frontal gyrus, signal, inferior, left, left, left, left, left, line, main, middle, middle frontal gyrus, observed, one, parahippocampal gyrus, parietal, parietal, precentral gyrus, projection, random, right, significant, test";"33";"brain, activation, group, analysis, and, cerebellum, inferior frontal gyrus, average, increase, cluster, control, control group, during, effect, size, frontal gyrus, signal, inferior, left, line, main, middle, middle frontal gyrus, observed, one, parahippocampal gyrus, parietal, precentral gyrus, projection, random, right, significant, test"
